"age","universidad","comuna","matriculatotal","latitud","longitud"
"2023","U. DE CONCEPCIÓN","Concepción","","-36.829464940340600","-73.03418317192360"
"2023","U. BOLIVARIANA","Concepción","","-36.82924261376130","-73.05668913695320"
"2023","U. DEL BÍO-BÍO","Concepción","","-36.82248963929020","-73.01327110137150"
"2023","U. DE LAS AMÉRICAS","Concepción","","-36.783294494226800","-73.0578485388569"
"2023","U. ANDRÉS BELLO","Concepción","","-36.77970437332910","-73.07603266026800"
"2023","U. DEL DESARROLLO","Concepción","","-36.821398002119696","-73.03660901650380"
"2023","U. SAN SEBASTIÁN","Concepción","","-36.81298349463050","-73.04264580998240"
"2023","U. SANTO TOMÁS","Concepción","","-36.82632846462110","-73.06162789224490"
"2023","U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN","Concepción","","-36.798517163917600","-73.05591782705520"
"2023","I.P. GUILLERMO SUBERCASEAUX","Concepción","","-36.82943040922970","-73.04077598898990"
"2023","I.P. DUOC UC","Concepción","","-36.795326493837000","-73.06257383915150"
"2023","I.P. IPEGE","Concepción","","-36.82268473629150","-73.03836565098890"
"2023","I.P. SANTO TOMÁS","Concepción","","-36.82629895291850","-73.06162530010180"
"2023","I.P. DIEGO PORTALES","Concepción","","-36.8263928297418","-73.05607374081540"
"2023","I.P. DEL VALLE CENTRAL","Concepción","","-36.82869486844600","-73.05597044582750"
"2023","I.P. VIRGINIO GÓMEZ","Concepción","","-36.83310485875080","-73.05643838569280"
"2023","I.P. AIEP","Concepción","","-36.82849771051070","-73.05476791628710"
"2023","C.F.T. SANTO TOMÁS","Concepción","","-36.826326328296800","-73.06162798220900"
